name,date,notes,year
Lucky Lion, May 29, Parx T – “injury” (was being prepped for debut),2021
Da Chrome, May 29, Pimlico R – “broke down…open ankle fracture”,2021
Teardown This Wall, May 30," Buffalo S – “colic, unresponsive to medical treatment”",2021
Remember Then, May 30," Ruidoso S – “colitis” (not euthanized, just died)",2021
Singular Sensation, May 31, Belmont R – “catastrophic injury…euthanized on track”,2021
Big Wish, May 31, Golden Gate R – “fractured both LF sesamoids at the finish line”,2021
Agamemnon, May 31," Santa Anita R – “[multiple] fractures, [multiple] ruptures”",2021
Artistic Ministry, Jun 1," Arizona R – “comminuted fracture, lacerated tendons”",2021
Lullula, Jun 1, Belmont T (euthanized Jun 6) – “left carpal injury”,2021
Incredibly Lucky, Jun 1, Emerald S – “shipping fever”,2021
Cartels Comet, Jun 1, Ruidoso S – “colic”,2021
Horseyoucameinon, Jun 2, Charles Town T – “fractured both [italics added] tibias”,2021
Never Out Ofmy Heart, Jun 2, Fair Meadows T – “LF fracture”,2021
Happyascanb, Jun 2, Parx T – “injury”,2021
Heros R Cowboys, Jun 2, Prairie S – “colic”,2021
Volume by Daisy, Jun 2, Thistledown R (euthanized Jun 5) – “displaced fracture”,2021
Micromillion, Jun 3, Belmont S – “colic…euthanized due to poor prognosis”,2021
Shortlister, Jun 3, Charles Town R (euthanized Jun 24) – “fractured cannon”,2021
Struttinbuck, Jun 3, Delaware T – “fractured ankle”,2021
Cheveyo, Jun 4," Evangeline R – “pulled up in distress, fracture”",2021
Canaveral Ride (probably sic), Jun 4, Gulfstream S – “deceased”,2021
Harper Go Lucky, Jun 4, Gulfstream R – “took a bad step”,2021
Bold Agenda, Jun 4," Monmouth T – “[multiple] fractures, [multiple] torn ligaments”",2021
Ghost Withthe Most, Jun 4, Palm Meadows T – “deceased” (being prepped for debut),2021
Hesturbo, Jun 5, Energy R – “collapsed on path after race” (two years old),2021
Fightin Girl, Jun 5, Fair Meadows R – “[multiple] fractures”,2021
Tapitena, Jun 5, Finger Lakes S – “suddenly collapsed and expired” (three years old),2021
Delicious Pursuit, Jun 5, Lone Star R – “acute death”,2021
King of Rock, Jun 6, Gulfstream R – “suffered an injury to LF leg and was euthanized”,2021
Now Tiz Time, Jun 6," Monmouth R – “[multiple] fractures, [multiple] torn ligaments”",2021
Military Commander, Jun 6," Pimlico R – “[multiple] fractures, fragment through skin”",2021
Elite Attraction, Jun 7," Indiana R – “flipped, skull fracture”",2021
Babbo Babbo Babbo, Jun 7, Parx R – “suffered an injury to his LF leg”,2021
Rocks Empire, Jun 8," Belterra R – “multiple displaced fractures” (two, first ever race)",2021
Stormy Black, Jun 8," Delta R – “displaced, comminuted fracture”",2021
Mr Copper Wind, Jun 9," Delta R – “displaced, comminuted fracture”",2021
Meet At Dudley's, Jun 9, Santa Anita T – “fractured [both] forelimbs”,2021
Hush's Storm, Jun 10," Ruidoso S – “horse died in stall, colic – no vet needed”",2021
Dac Timetoshine, Jun 10, Sam Houston S – “colic” (was raced May 22),2021
Sheer Devil, Jun 11, Lone Star R – “sesamoid fracture”,2021
Apocalypse, Jun 11, Vernon R – “heart attack” (five years old),2021
All Fact, Jun 12," Churchill R – “skull fracture, multiple fragments”",2021
Bodemeister Wind, Jun 12, Churchill R – “[multiple] fractures”,2021
Demand de Lute, Jun 12, Emerald T – “[multiple] ruptures”,2021
Scatalycat, Jun 12," Emerald T – “comminuted, compound fractures [both] forelimbs”",2021
Registrant, Jun 12," Los Alamitos R – “horse staggered, fell, seized, and died”",2021
Accomplish, Jun 12," Penn T – “illness” (two years old; not euthanized, just died)",2021
Mr Bell N Wire, Jun 13, Fair Meadows R – “LF fracture”,2021
Pushing Sixty, Jun 13, Santa Anita R – “comminuted fracture; complete rupture”,2021
G Q Girl, Jun 14," Thistledown R – “collapsed, [bled out], died”",2021
Is She Quick, Jun 15, Belterra R – “open wound on fetlock with avulsion of sesamoid”,2021
Boot Camp Brad, Jun 15, Fair Meadows R – “RF fracture”,2021
Woodbury, Jun 15, Parx R – “suffered a catastrophic injury…subsequently euthanized”,2021
Greek Sonnet, Jun 16, Finger Lakes R (euthanized Jun 18) – “fractured RF”,2021
Music Babe, Jun 16," Golden Gate T – “came back to barn, found deceased [later]”",2021
Krunch, Jun 16, Indiana T – “fractured sesamoid”,2021
B's Wild Man, Jun 16, Mountaineer R – “severed spinal cord”,2021
Dynamic Miss, Jun 16, Mountaineer R – “flexor rupture”,2021
Big Cypress, Jun 16, Penn R – “suffered catastrophic injuries to both front legs”,2021
Perrys Dinamite, Jun 17, Arizona T – “sudden death” (three years old),2021
Snazzy Cazzy, Jun 17, Golden Gate S – “found deceased at feed time – exsanguination”,2021
Cool Celeste, Jun 17," Keeneland S – “comminuted fracture, severe tearing of muscles”",2021
Strictly Business, Jun 17," Pimlico S – “colic, several days duration; horse became toxic”",2021
Syms Dandy Tlc, Jun 18, Ruidoso R – “fractured knee”,2021
Classy Cay, Jun 19," Chippewa R – “stumbled, collapsed – fractured both front legs”",2021
Hitch Kick Double, Jun 19, Churchill T – “some fragments embedded in ligament”,2021
Splash, Jun 19, Delaware R – “sudden death” (two years old; chart: “stopped abruptly”),2021
Great Scott, Jun 19, Emerald T – “bilateral scapular fractures [both shoulders]”,2021
Lone Star Heat, Jun 19, Lone Star T – “sesamoid fracture”,2021
Lotta Jb, Jun 19, Wyoming R – “shattered knee”,2021
Kens Lady, Jun 20, Pimlico R – “open disarticulated fracture…euthanized on track”,2021
Sweet Sassafrassy, Jun 20, Pimlico R – “comminuted fracture of scapula”,2021
Mover Shaker, Jun 20, Will Rogers T – “humeral fracture” (being prepped for debut),2021
Separate Issue, Jun 21, Arizona S – “colic” (two years old),2021
Tia Vicky, Jun 21, Belmont S – “found deceased in its stall”,2021
I Want a Picture, Jun 21, Louisiana R – “acute fracture”,2021
Shacks Your Daddy, Jun 22," Arlington S – “severe diarrhea, severe colic – expired”",2021
Lord Camden, Jun 22, Finger Lakes R – “fractured fetlock…euthanized on track”,2021
Baby Bam Bam, Jun 22, Parx T – “injury”,2021
Laurel Lad, Jun 23, Charles Town S – “EPM” (was raced Jun 17),2021
Sky Judge, Jun 23," Indiana R – “fractured sesamoid” (chart said, “was vanned home”)",2021
Inclunation, Jun 23, Parx R – “returned lame”,2021
Step Back, Jun 24, Delaware T – “condylar fracture” (being prepped for first race),2021
Bad As Bart, Jun 24, Monticello S – “foundered”,2021
Sir Angel, Jun 24," Sam Houston S – “colic” (nine years old, was raced May 22)",2021
Easy Return, Jun 24, Sam Houston T – “possible cardiac” (two years old),2021
Dunraven Pass, Jun 24, Thistledown T – “fractured both sesamoids at 7/8 pole”,2021
Not That Brady, Jun 26," Belmont T – “RH injury, ambulanced off, euthanized”",2021
Charge Into War, Jun 26," Belmont R – “fracture, cardiac arrest after surgery”",2021
Crown Me Jackson, Jun 26," Evangeline R – “fell – open, compound fracture”",2021
Repeat Repeat, Jun 26, Percy Warner R – “fell and was euthanized”,2021
Silver Sun, Jun 26, Timonium S (to be raced that day) – “flipped…acute brain trauma”,2021
Super de Shine, Jun 27," Ellis R – “[multiple] open, disarticulated fractures”",2021
Beta Lake, Jun 27, Lone Star R – “sesamoid fracture”,2021
Custom Pancho, Jun 27," Louisiana R – “fell – acute open, displaced fracture”",2021
Uncle Boogie, Jun 27, Santa Anita T – “catastrophic humeral fracture”,2021
Ce Mi Esperanza, Jun 28, Delta R – “comminuted fracture”,2021
Mr Black Gold, Jun 28, Fair Meadows R – “scapula fracture”,2021
Loosin My Lover, Jun 28, Grants Pass R – “broken thoracic vertebrae”,2021
Fashion Nova, Jun 28, Parx R – “suffered an injury to her LF leg”,2021
Trucking Baron, Jun 29, Saratoga S – “chronic laminitis”,2021
Memphis Doll, Jun 30, Arizona R – “fracture that splits the bone into four pieces”,2021
Millard's Comet, Jun 30, Canterbury R – “suffered a catastrophic injury”,2021
Baby Bleu Janes, Jun 30," Penn T – “injury” (two years old, being prepped for debut)",2021
Freight Train, Jun 30, Penn R – “catastrophic injury – [but] was walked into the van”,2021
Tf Hez That Guy, Jul 1, Delta R – “displaced tibia fracture” (second race),2021
Tomorrow's Mine, Jul 1," Emerald R – “[multiple] fractures, open luxation”",2021
Danza Queen, Jul 2," Ashwood (Kentucky) T – “severe trauma, shoulder and neck”",2021
Dreamer's Moon, Jul 2, Parx S – “sudden death” (five years old),2021
Questeq, Jul 2, Parx S – “sudden death” (had finished last in a race five days prior),2021
That's for Sure, Jul 3, Charles Town R (euthanized Jul 28) – “tendon injury/infection”,2021
Lupes Valentine, Jul 3," Fair Meadows R – “fell after wire – fracture, rupture”",2021
yet-to-be-named 2-year-old, Jul 3, Charles Town T – “fractured radius”,2021
Carter Gunner (probably sic), Jul 3, Wyoming T – unspecified,2021
Rio Seco, Jul 4," Arlington R – “[sudden death], [possible] heat exhaustion/stroke”",2021
Global Appeal, Jul 4, Ellis R (euthanized Jul 5) – “comminuted slab fracture”,2021
Jordans Game, Jul 4," Gillespie R – “humeral fracture” (two years old, first race)",2021
Expect Halo, Jul 4, Lone Star T – “severe groin injury”,2021
Gutz, Jul 4," Santa Anita T – “[multiple] open fractures, [multiple] complete ruptures”",2021
Ez Moveslikejagger, Jul 5, Grants Pass R – “fractured scapula”,2021
Straightupp, Jul 6," Ruidoso T – “horse collapsed – hemorrhage, sudden death”",2021
Great Escape, Jul 7," Keeneland T – “staggered, weakened, collapsed, expired”",2021
Shesdiamonite, Jul 8," Belterra R – “open fracture, avulsed ligament”",2021
Miss Guretta, Jul 8, Evangeline R – “cardiac – died”,2021
Smooth Landing, Jul 8, Parx T – “injury” (being prepped for first race),2021
R T's Dude, Jul 9, Evangeline R – “displaced fracture”,2021
Square Dreamer, Jul 9," Golden Gate T – “[multiple] fractures, [multiple] ruptures”",2021
Pretty Britches, Jul 9, Lone Star R – “sesamoid fracture”,2021
Country Love, Jul 9, Lone Star R – “scapula fracture”,2021
Our Claire Bear, Jul 9, Parx T – “injury” (had been raced 45 times),2021
Blood Sweat N Beers, Jul 10, Delta R (euthanized Jul 12) – “acute grade 3”,2021
Black Mountain Dust, Jul 10," Wyoming R – “collapsed, died on track” (two years old)",2021
Baja Sur, Jul 11," Emerald R – “biaxial sesamoid fractures, open luxation”",2021
Catch This Star, Jul 12," Fair Meadows R – “[multiple] fractures, rupture”",2021
Enduring Love, Jul 12, Thistledown R – “suffered catastrophic injury…euthanized”,2021
Fiddlers Girl, Jul 13," Belmont T – “pelvic fracture, euthanized”",2021
Siesta Moon, Jul 13, Monmouth T – “crashed through metal gate – humerus shattered”,2021
Continental Clash, Jul 13, Mountaineer R – “fractured sesamoid”,2021
Abaco Dream, Jul 13," Penn R – “took a bad step, pulled up lame”",2021
Southern Oak, Jul 14," Belterra R – “open, compound fracture” (first race)",2021
Victoria Belle, Jul 14, Parx R – “suffered a catastrophic injury to her left front”,2021
The Minit I See U, Jul 14, Penn R – “catastrophic injury to his right front”,2021
Blue Duck La Jolla, Jul 14, Sam Houston R – “humerus fracture”,2021
Yes I'm Lucky (sic), Jul 15, Albuquerque S – “colic – died during night” (two years old),2021
Michigan Avenue, Jul 15, Gulfstream T – “deceased” (two years old),2021
Tiz the Time, Jul 16, Evangeline R – “fell – acute fracture”,2021
Love Conquers, Jul 16, Evangeline R – “collapsed after wire – sudden death”,2021
Charlie's Big Girl, Jul 16, Prairie T – “fractured sesamoid”,2021
Strong Moment, Jul 16, Saratoga R – “catastrophic injury…euthanized on the course”,2021
Sr Mighty Leader Jet, Jul 17, Crooked River R – “fractured humerus”,2021
Dixieland Darling, Jul 17, Monmouth R – “[multiple] fractures [and] ligament tears”,2021
Independent One, Jul 17, Tioga R – “RH injury…euthanized by track vet”,2021
Needless to Say, Jul 18, Del Mar T – “sudden spontaneous death” (three years old),2021
Arson, Jul 18," Del Mar T – “open fracture, severe hemorrhage, tearing of musculature”",2021
Contagion, Jul 18," Del Mar R – “sustained an injury, vanned off, [euthanized]”",2021
Pleasure Luck, Jul 18, Saratoga R (euthanized Jul 19) – “took a bad step”,2021
Funnie Tune, Jul 18," Wyoming R – “fractured knee, euthanized on track”",2021
Saint Levi, Jul 19, Fair Meadows R – “[multiple] fractures”,2021
Fattoria, Jul 19, Saratoga T – “pelvic injury necessitating euthanasia”,2021
Mj Cash Train, Jul 20," Delta R – “displaced, comminuted fracture”",2021
Shadow Fall, Jul 20," Monmouth T – “[multiple] fractures; ruptures, tears, hemorrhage”",2021
Sexyama, Jul 20, Parx R – “fell after the finish”,2021
Victory Chimes, Jul 20, Penn R – “pulled up lame after the finish”,2021
Wessington Springs, Jul 20," Timonium T – “bounced off rail twice, struck head, died”",2021
Mas O Menos, Jul 21," Evangeline R – “open, displaced fracture”",2021
Five Star Colonel, Jul 21, Indiana R – “fractured sesamoid”,2021
Commander Chachi, Jul 21, Thistledown T – “multiple large pulmonary blood clots”,2021
Crystal Got Even (probably sic), Jul 22," Churchill T – “fracture, tearing of muscles”",2021
Chit Chat Bang, Jul 22," Gulfstream T – “deceased” (two years old, coming off first race)",2021
Zippy Kitty, Jul 22, Thistledown R – “pulled up lame – comminuted fracture”,2021
yet-to-be-named 2-year-old, Jul 23, Arlington T – “fractured shoulder…destroyed”,2021
Solo Story, Jul 23," Tioga T – “sustained broken leg, euthanized by track vet”",2021
Divine Interventio, Jul 24," Delaware R – “fracture, rupture” (53rd race)",2021
A Royal Ace, Jul 24," Great Falls R – “fractured ankle, euthanized”",2021
Canary Islands, Jul 25, Arlington R – “pelvic trauma: both back legs would not move”,2021
Mercedes Machen, Jul 25, Mountaineer R – “tendon rupture”,2021
Miss Ram, Jul 27, Delta R – “grade 4”,2021
Justacrumbsnatcher, Jul 27, Monmouth T – “fracture [with] sclerosis and necrosis”,2021
Glorious Glitter, Jul 27, Mountaineer R – “slab fracture”,2021
Motiveighted, Jul 27," Ruidoso S – “colic” (not euthanized, just died) (two years old)",2021
Kazmania, Jul 28, Penn T – “injury”,2021
Arjun, Jul 28," San Luis Rey T – “complete fracture, ruptured muscles”",2021
Donut Lord, Jul 29, Colonial T – “acute cardio-respiratory failure” (two years old),2021
Spanish d'Oro, Jul 29, Delaware T – “severe leg injuries and open cuts”,2021
Big Stick of Love, Jul 29, Hoosier S – “sudden death in stall”,2021
Dawn's Early Light, Jul 29, Penn S – “sudden death” (four years old),2021
E J's Gold, Jul 31, Ruidoso R – “fractured sesamoid” (75th race),2021
Fiya, Jul 31, Saratoga T – “injury to RH leg…euthanized”,2021
Bodacious Wagon, Aug 1, Prairie S – “pneumonia”,2021
Arlene's Kitten, Aug 2," Finger Lakes T – “tender and sore, pelvic fracture located”",2021
Bruce, Aug 2, Los Alamitos S – “hypovolemic shock due to aortic rupture”,2021
Fame to Famous, Aug 3," Monmouth S – “severe, acute laminitis in all four feet”",2021
Awesome At Riedes, Aug 4, Delaware T – “fractured shoulder”,2021
Twisted Gratitude, Aug 4, Finger Lakes S – “expired in her stall – probable colic”,2021
I Got the Time, Aug 4," Thistledown R – “open, displaced cannon fracture”",2021
Genesis G G, Aug 5," Charles Town T (euth Mar 21, 2022) – “neck/back injury”",2021
Diction, Aug 5, Emerald R – “[broke] both forelimbs”,2021
Son of Patriot, Aug 5, Evangeline R – “acute open fracture [in gate]”,2021
Kk Dashing Fury, Aug 5," Sam Houston R – “complete luxation, severed ligament”",2021
Butter Lou, Aug 5," Saratoga R – “injur[ed] after wire, vanned to barn, euthanized”",2021
Fricka, Aug 5," Thistledown R – “horse won race, pulled up lame, [euthanized]”",2021
Shesgotattitude, Aug 6, Del Mar R – “flipped – compression/laceration of brain stem”,2021
Watching Rachel, Aug 6," Indiana S – “trailer injury” (two years old, not yet raced)",2021
Whittaker N, Aug 6," Meadowlands R – “ventricular tachycardia, dropped dead”",2021
Allstar Energy, Aug 7, Batavia R – “[multiple] fractures”,2021
Mischievous Bull, Aug 7, Evangeline R – “displaced fracture”,2021
Abiding Star, Aug 7, Monmouth T – “collapsed [and died] – severe epistaxis”,2021
Fifth Avenue Red, Aug 7," Saratoga T – “pulled up, vanned off, euthanized”",2021
Relentless Oatman, Aug 7," Wyoming R – “fractured knee, euthanized on track”",2021
Chublicious, Aug 8, Monmouth R – “fracture with wide exposure of the MC3”,2021
Exhalted Spirit, Aug 8," Ruidoso R – “fell, spinal cord injury”",2021
Solar Circle, Aug 9, Arlington S – “large colon fecal impaction” (two years old),2021
Oath of Solitude, Aug 10," Parx S – “illness” (three years old, had yet to be raced)",2021
Volpaia, Aug 10," Saratoga T – “fell over rail, multiple injuries, euthanized”",2021
Cousin, Aug 11," Thistledown T – “[multiple] hemorrhages, head, neck, chest”",2021
Big Boots, Aug 12, Charles Town R – “fractured sesamoid”,2021
Mio Becoming, Aug 12, Charles Town R (euthanized Aug 18) – “slab fracture”,2021
Mark Whats Mine, Aug 12, Golden Gate S – “was kicking walls and fractured left hind”,2021
Strong Words, Aug 12, Indiana T – “[multiple] fractures”,2021
Lori Darlin, Aug 12, Remington T – “multiple fractures”,2021
Disputant, Aug 13, Gulfstream T – “had a fracture” (two years old),2021
Light Us Up, Aug 13, Presque Isle S – “illness”,2021
Tell Em I Got Candy, Aug 13, Ruidoso S – “colic from 12:30 am to 8 am” (two years old),2021
Nurse Giggles, Aug 14, Wyoming R – “fractured knee”,2021
Big Smoove, Aug 15, Batavia S – “found laying in the stall…passed away on his own”,2021
Red Roll, Aug 15," Batavia R – “fractured left fore [in crash], euthanized”",2021
Nicol Shard N, Aug 15, Hoosier R – “sudden death – pulmonary hemorrhage”,2021
Sir Rough Cut, Aug 15," Keeneland T – “comminuted fracture, tearing of muscles”",2021
Keepyourskateson, Aug 15," Pimlico R – “shattered bone in right knee, multiple pieces”",2021
Informed Risk, Aug 16, Belmont S – “laminitis” (had training session four days prior),2021
Belle's Cachet, Aug 16, Colonial S – “extensive hemorrhages in small intestine”,2021
Homine Replegiando, Aug 16, Remington T – “[multiple] displaced fractures”,2021
Go With Honor, Aug 17, Finger Lakes T – “received a fracture”,2021
Constant Craving, Aug 18," Emerald S – “hoof abscess, chronic – went into bone”",2021
Matt Major, Aug 18, Monticello R – “fractured pastern”,2021
Metatiger, Aug 19," Emerald R – “acute, severely comminuted slab fracture”",2021
Sweetnessncharm, Aug 19, Thistledown R – “fractured shoulder”,2021
The Tabulator, Aug 19," Thistledown R – “[multiple] open, compound fractures”",2021
Lean In, Aug 20, Ellis T – “[multiple] comminuted fractures”,2021
Mondo Gold, Aug 20, Ellis R – “fetlock open with disarticulation”,2021
Bulk, Aug 20, Gulfstream R – “went wrong in the left hind”,2021
Great Cause, Aug 20, Pimlico R – “flipped and struck her head hard on the wall”,2021
Come On Rico, Aug 20, Prairie R – “fell – fractured cannon”,2021
Jam Candy, Aug 20," Ruidoso R – “fell, shoulder”",2021
Knockout Punch, Aug 21," Monmouth R – “severe, complete, displaced neck fracture”",2021
New Year's Chic, Aug 21, Prairie T – “LF fracture”,2021
Olympico, Aug 21, Saratoga T – “RH condylar injury”,2021
Canyon Klif, Aug 22, Albuquerque R – “slab fracture left carpus”,2021
Seanshine, Aug 22, Arlington S – “down in stall…euthanized”,2021
West Bank Baby, Aug 22, Churchill S – “coffin bones rotated through the soles”,2021
Final Prospect, Aug 23, Monmouth S – “95% obstructed airway” (nine years old),2021
Quick Nick, Aug 25," Belmont T – “shoulder injury, euthanized”",2021
Pop's Your Crazy, Aug 25, Monmouth S – “laminitis post fever [of] six-week duration”,2021
Lady Campbell, Aug 26," Emerald R – “acute, severe fracture; tendon rupture”",2021
Now a Jaguar, Aug 26, Gulfstream T – “deceased”,2021
Wasn't Me, Aug 26, Saratoga T – “possible heart attack” (two years old),2021
Eyes On Me, Aug 27, Penn R – “suffered a catastrophic injury to his left front”,2021
Cousin Dario, Aug 28, Evangeline R – “pulled up in distress – acute fracture”,2021
King Zippy, Aug 28, Louisiana R – “[multiple] fractures”,2021
Moonlite Promise, Aug 29, Del Mar T – “catastrophic pelvic fracture”,2021
Truly Noble, Aug 29," Northfield R – “fractured tibia, not salvageable”",2021
America's Joy, Aug 29," Saratoga T – “fracture while breezing, broke neck in fall”",2021
Cash Kitten, Aug 30, Arapahoe S – “colic of five-day duration”,2021
War Film, Aug 30," Colonial R – “[multiple] fractures, multiple fragments within joint”",2021
Autumn Heir, Aug 30, Gulfstream T – “deceased” (two years old),2021
Banker Billy, Aug 30, Remington T – “multiple fractures”,2021
Watch Your Step, Aug 30, Thistledown R (euthanized Sep 6) – “displaced fracture”,2021
Rhoda's Jewell, Aug 31, Arapahoe S – “severe fibrinosuppurative pleuropneumonia”,2021
Tri Saint Lorenzo, Sep 1," Belmont S – “was walked to [hospital], euthanized”",2021
Shanghai Sally, Sep 1, Remington T – “fractured ankle”,2021
Valley Vibe, Sep," Timonium T (euthanized Sep 27) – “fracture, surgery, laminitis”",2021
Yeahiknow, Sep 3, Belterra R – “collapsed and died – most likely pulmonary bleed-out”,2021
Bamalama, Sep 3," Ellis R – “suspensory ligament torn, embedded fragment of bone”",2021
Bex, Sep 3," Emerald T – “severe fracture, [multiple] ruptures”",2021
Drummer Don, Sep 4, Parx S – “illness” (had been raced 61 times),2021
I'm Bossy, Sep 4, Remington R – “pulled up lame past wire – fractured ankle”,2021
Shes the Beast, Sep 4, Remington R (euthanized Sep 6) – “slab fracture”,2021
Everyoneloveslily, Sep 5, Belmont T – “broke down after wire – euthanized on track”,2021
Esperada, Sep 5," Golden Gate T – “[multiple] open, comminuted, displaced fractures”",2021
Psychic Energy, Sep 5, Parx S – “illness” (had been raced 43 times),2021
Tivoli Twirl, Sep 5, Saratoga S – “euthanized due to severe health complications”,2021
Honor Award, Sep 6," Del Mar R – “[multiple] fractures, [multiple] ruptures”",2021
Ray's Kimua, Sep 6, Louisiana R – “LF fracture”,2021
Ghosted, Sep 6, Prairie R – “fell – fractured cannon”,2021
Kat Eye Kylie, Sep 6," Ruidoso R – “unknown, [just died]” (two years old)",2021
Cash Comes First, Sep 7, Pimlico T – “avulsed pieces of the ligament [through skin]”,2021
Royal Briar, Sep 7, Thistledown T – “displaced P1 fracture”,2021
Floroplus, Sep 8," Kentucky R – “[multiple] open fractures, extensive tissue damage”",2021
Becoming Smitty, Sep 9, Charles Town R – “fractured fetlock”,2021
Sounds Dangerous, Sep 9, Indiana T – “comminuted P1 fracture”,2021
Burnished, Sep 9, Keeneland T – “suspect complete scapula fracture”,2021
City Magic, Sep 9," Kentucky R – “biaxial sesamoid fractures, severe tissue damage”",2021
Midnight Whiskey, Sep 10, Penn R – “catastrophic injury – [but] was walked into van”,2021
Cirona, Sep 10," Saratoga T – “pulled up lame, suspected pelvic…euthanized”",2021
He's a Lucky Devil, Sep 11, Belmont T – “horse fell – euthanized on track”,2021
Dame of the West, Sep 11," Emerald R – “sesamoid fractures, [both front limbs]”",2021
Bathory, Sep 11," Golden Gate R (euthanized days later) – “vanned off, [euthanized]”",2021
Got the Candy, Sep 11," Prairie T – “elbow fracture, shoulder dislocation”",2021
Rc 5, Sep 11, Will Rogers R – “open [through the skin] ankle fracture”,2021
Lilbluechicknfry, Sep 12, Albuquerque R – “bilateral sesamoid fractures”,2021
Very Best Skunk, Sep 13, Indiana S – “found deceased – abdominal hemorrhage”,2021
Plexus, Sep 13, Indiana R – “[multiple] comminuted fractures”,2021
Mouth Watering, Sep 13, Plainridge R – “severe comminuted fracture”,2021
Whata Perfect Day, Sep 13, Prairie T – “[multiple fractures]”,2021
Wellbehavedman, Sep 14, Finger Lakes T – “received fracture…euthanized on track”,2021
Bionic Rosie, Sep 14," Thistledown R – “fell over fallen horse, fractured shoulder”",2021
Pearl Tiara, Sep 15, Indiana R – “injured”,2021
Target Tales, Sep 15," Monmouth T – “multiple fractures, severe soft tissue damage”",2021
Blitchton Lady, Sep 15, Parx R – “injured her right front”,2021
Miss Makayla, Sep 15, Penn S – “illness” (not euthanized – just died),2021
King of Miami, Sep 16, Arlington T – “collapsed and died – pulmonary hemorrhage”,2021
Baltimore Bucko, Sep 16, Belmont R – “fell fatally to the ground”,2021
Little Leo, Sep 16, Charles Town R – “[multiple] fractures”,2021
Holdfast, Sep 16, Golden Gate T – “horse collapsed and died” (five years old),2021
Candy Store, Sep 16, Indiana R – “[multiple] fractures”,2021
Squeezadios, Sep 17, Gulfstream R – “suffered a catastrophic injury”,2021
Verbien O. P., Sep 18, Delaware R – “fell heavily…compound fracture”,2021
Serengeti Sunshine, Sep 18, Gulfstream T – “deceased” (coming off first race),2021
Stopdropandroll, Sep 19," Golden Gate T – “[multiple] fractures, [multiple] ruptures”",2021
Left Alone, Sep 19, Golden Gate T – “sudden death – exsanguination [she bled out]”,2021
This Jess Can Dash, Sep 19, Prairie R – “acute collapse”,2021
New Jersey John, Sep 19, Presque Isle S – “illness”,2021
Empire's Shadow, Sep 19," Sweetwater R – “fractured sesamoid, euthanized on track”",2021
Matheson, Sep 20," Remington S – “laminitis, septicemia” (four years old)",2021
Kj Chico, Sep 21, Monticello R – “fell during race…euthanized”,2021
Regal Run, Sep 21, Parx R – “injured his left front leg”,2021
Silver Dagger, Sep 21, Parx R – “injured his left front”,2021
Forgotten Magic, Sep 22, Parx R – “suffered a catastrophic leg injury”,2021
Make the Call, Sep 22," Thistledown R – “collapsed, agonal breathing, died”",2021
Say It Ain't Soni, Sep 23, Remington R – “pulled up lame – [multiple] fractures”,2021
Quasar Moon, Sep 23," Thistledown R – “won race, pulled up lame, [euthanized]”",2021
His Lordship, Sep 24, Charles Town T – “fractured shoulder”,2021
Ask Me How Iknow, Sep 24, Charles Town R – “fractured MCIII”,2021
Juan Boly, Sep 24," Monmouth R – “[multiple] fractures, [multiple] ruptures”",2021
Siente La Magia, Sep 25, Charles Town S – “founder” (had been raced seven times),2021
Return to Me, Sep 25, Charles Town T – “fractured shoulder”,2021
Happy Saison, Sep 25, Charles Town T – “[multiple] fractures”,2021
Wall Streete, Sep 25, Pocatello R – “traumatic injury after collision with inside rail”,2021
Happy Happy B, Sep 26, Belmont R – “fell heavily…euthanized on track”,2021
Camellia Gal, Sep 26," Churchill T – “pelvic fracture, severe hemorrhage”",2021
Clear Steps, Sep 26, Churchill R – “[multiple] tears and ruptures”,2021
Bee Einstein, Sep 26, Emerald R – “[multiple] fractures”,2021
P J's Hidden Jewel, Sep 26, Monmouth R (euthanized Sep 28) – “comminuted fracture”,2021
Anaya's Secret, Sep 26, Palm Meadows T – “deceased” (two years old),2021
Prado Colors, Sep 26, Thistledown S – “infected joint” (had been raced 49 times),2021
Executive Trust, Sep 26, Zia R – “fractures [two legs] past wire”,2021
Behavin Good, Sep 27," Arapahoe S – “colic, died” (not euthanized – just died)",2021
Mox Nix, Sep 28," Belterra R – “complete, compound fracture of cannon”",2021
Dunroad, Sep 28," Belterra R – “[multiple] fractures, avulsion of apparatus”",2021
A P Rock, Sep 28, Charles Town T – “carpal fracture”,2021
Tavernette, Sep 28, Finger Lakes S – “unresolved and worsening EPM”,2021
Oklahoma Fever, Sep 28, Remington T (euthanized Sep 29) – “fractured knee”,2021
Jess Cartel Eyes, Sep 28, Zia R – “knee fracture past wire”,2021
Three Amigos, Sep 29," Arlington S – “chronic, severe degenerative osteoarthritis”",2021
Reveille, Sep 30," Arlington S – “neurological for some time, progressively worse”",2021
Seven Summers, Sep 30," Santa Anita T – “catastrophic fracture, tearing of skin”",2021
Starship Simba, Oct 1, Gulfstream T – “deceased”,2021
Tremendous, Oct 1," Laurel R – “head trauma – bled profusely from mouth, ears, nose”",2021
Fight On Ron, Oct 1, Santa Anita R – “horse broke down after finish line”,2021
Rouson, Oct 3," Churchill R – “[multiple] open fractures, [multiple] ruptures”",2021
Kyosha, Oct 3," Laurel R – “complete, displaced, comminuted pelvic fracture”",2021
Bartender, Oct 4," Thistledown S – “bad flipping habit, hurt owner, [euthanized]”",2021
